top,left,date,qtr,time_remaining,result,shot_type,distance_ft,lead,lebron_team_score,opponent_team_score,opponent,team,season,color
310,203,"Oct 18, 2022",1st Qtr,09:26,FALSE,3,26,FALSE,2,2,GSW,LAL,2023,red
213,259,"Oct 18, 2022",1st Qtr,08:38,FALSE,2,16,FALSE,4,5,GSW,LAL,2023,red
143,171,"Oct 18, 2022",1st Qtr,08:10,FALSE,2,11,FALSE,4,7,GSW,LAL,2023,red
68,215,"Oct 18, 2022",1st Qtr,05:24,TRUE,2,3,FALSE,12,19,GSW,LAL,2023,green
66,470,"Oct 18, 2022",1st Qtr,01:02,FALSE,3,23,FALSE,22,23,GSW,LAL,2023,red
63,239,"Oct 18, 2022",2nd Qtr,11:30,TRUE,2,1,FALSE,24,25,GSW,LAL,2023,green
230,54,"Oct 18, 2022",2nd Qtr,10:30,FALSE,3,26,FALSE,24,27,GSW,LAL,2023,red
53,224,"Oct 18, 2022",2nd Qtr,10:05,TRUE,2,2,FALSE,26,27,GSW,LAL,2023,green
241,67,"Oct 18, 2022",2nd Qtr,09:30,FALSE,3,26,FALSE,26,29,GSW,LAL,2023,red
273,113,"Oct 18, 2022",2nd Qtr,08:55,FALSE,3,25,FALSE,26,32,GSW,LAL,2023,red
62,224,"Oct 18, 2022",2nd Qtr,07:06,FALSE,2,2,FALSE,31,39,GSW,LAL,2023,red
63,249,"Oct 18, 2022",2nd Qtr,03:53,TRUE,2,1,FALSE,39,49,GSW,LAL,2023,green
103,236,"Oct 18, 2022",2nd Qtr,02:34,FALSE,2,5,FALSE,39,51,GSW,LAL,2023,red
54,249,"Oct 18, 2022",2nd Qtr,01:48,TRUE,2,1,FALSE,44,53,GSW,LAL,2023,green
53,240,"Oct 18, 2022",2nd Qtr,00:58,FALSE,2,0,FALSE,46,55,GSW,LAL,2023,red
230,71,"Oct 18, 2022",3rd Qtr,10:49,TRUE,3,25,FALSE,58,63,GSW,LAL,2023,green
231,358,"Oct 18, 2022",3rd Qtr,09:00,FALSE,2,21,FALSE,60,70,GSW,LAL,2023,red
61,240,"Oct 18, 2022",3rd Qtr,08:44,TRUE,2,1,FALSE,62,70,GSW,LAL,2023,green
59,235,"Oct 18, 2022",3rd Qtr,01:11,TRUE,2,1,FALSE,68,91,GSW,LAL,2023,green
299,188,"Oct 18, 2022",3rd Qtr,00:06,TRUE,3,25,FALSE,71,91,GSW,LAL,2023,green
251,397,"Oct 18, 2022",4th Qtr,11:44,FALSE,3,25,FALSE,71,91,GSW,LAL,2023,red
63,241,"Oct 18, 2022",4th Qtr,10:27,TRUE,2,1,FALSE,75,93,GSW,LAL,2023,green
290,152,"Oct 18, 2022",4th Qtr,09:49,FALSE,3,25,FALSE,75,93,GSW,LAL,2023,red
