top,left,date,qtr,time_remaining,result,shot_type,distance_ft,lead,lebron_team_score,opponent_team_score,opponent,team,season,color
323,329,"Oct 18, 2022",1st Qtr,8:52,False,3,28,False,2,9,BOS,PHI,2023,red
340,265,"Oct 18, 2022",1st Qtr,4:08,True,3,29,True,18,17,BOS,PHI,2023,green
304,318,"Oct 18, 2022",1st Qtr,2:51,True,3,26,True,22,17,BOS,PHI,2023,green
116,280,"Oct 18, 2022",1st Qtr,2:21,True,2,7,True,25,17,BOS,PHI,2023,green
320,188,"Oct 18, 2022",2nd Qtr,6:21,True,3,27,True,45,43,BOS,PHI,2023,green
175,285,"Oct 18, 2022",2nd Qtr,3:19,False,2,13,True,55,53,BOS,PHI,2023,red
318,131,"Oct 18, 2022",2nd Qtr,2:30,False,3,29,True,58,55,BOS,PHI,2023,red
336,192,"Oct 18, 2022",2nd Qtr,0:48,True,3,29,False,61,61,BOS,PHI,2023,green
333,283,"Oct 18, 2022",2nd Qtr,0:00,False,3,28,False,63,63,BOS,PHI,2023,red
189,198,"Oct 18, 2022",3rd Qtr,7:16,True,2,14,False,72,76,BOS,PHI,2023,green
248,197,"Oct 18, 2022",3rd Qtr,6:21,True,2,20,False,74,78,BOS,PHI,2023,green
61,273,"Oct 18, 2022",3rd Qtr,2:41,True,2,3,False,82,90,BOS,PHI,2023,green
323,253,"Oct 18, 2022",3rd Qtr,2:01,False,3,27,False,82,93,BOS,PHI,2023,red
264,83,"Oct 18, 2022",4th Qtr,3:01,True,3,26,False,106,118,BOS,PHI,2023,green
188,177,"Oct 20, 2022",1st Qtr,8:50,False,2,15,False,8,10,MIL,PHI,2023,red
282,139,"Oct 20, 2022",1st Qtr,6:58,False,3,25,False,11,18,MIL,PHI,2023,red
163,334,"Oct 20, 2022",1st Qtr,5:51,False,2,14,False,11,18,MIL,PHI,2023,red
265,398,"Oct 20, 2022",1st Qtr,4:18,True,3,26,False,16,21,MIL,PHI,2023,green
59,112,"Oct 20, 2022",2nd Qtr,10:05,True,2,13,False,31,32,MIL,PHI,2023,green
143,200,"Oct 20, 2022",2nd Qtr,7:36,False,2,10,False,33,36,MIL,PHI,2023,red
76,244,"Oct 20, 2022",2nd Qtr,5:38,True,2,2,False,35,38,MIL,PHI,2023,green
138,227,"Oct 20, 2022",2nd Qtr,0:39,True,2,9,False,45,47,MIL,PHI,2023,green
168,248,"Oct 20, 2022",3rd Qtr,10:16,True,2,12,False,49,52,MIL,PHI,2023,green
192,247,"Oct 20, 2022",3rd Qtr,9:51,True,2,14,False,51,52,MIL,PHI,2023,green
138,468,"Oct 20, 2022",3rd Qtr,8:58,False,3,24,False,51,52,MIL,PHI,2023,red
199,450,"Oct 20, 2022",3rd Qtr,6:55,False,3,26,False,53,54,MIL,PHI,2023,red
224,254,"Oct 20, 2022",4th Qtr,10:21,True,2,17,False,67,78,MIL,PHI,2023,green
79,232,"Oct 20, 2022",4th Qtr,9:19,True,2,3,False,71,80,MIL,PHI,2023,green
218,343,"Oct 20, 2022",4th Qtr,8:41,True,2,19,False,73,80,MIL,PHI,2023,green
277,111,"Oct 20, 2022",4th Qtr,8:01,False,3,26,False,73,80,MIL,PHI,2023,red
86,234,"Oct 20, 2022",4th Qtr,6:51,False,2,3,False,78,80,MIL,PHI,2023,red
61,231,"Oct 20, 2022",4th Qtr,6:42,True,2,1,False,80,80,MIL,PHI,2023,green
187,354,"Oct 20, 2022",4th Qtr,5:24,True,2,18,False,82,82,MIL,PHI,2023,green
292,312,"Oct 20, 2022",4th Qtr,4:54,False,3,25,False,82,82,MIL,PHI,2023,red
277,393,"Oct 20, 2022",4th Qtr,4:14,False,3,27,False,82,82,MIL,PHI,2023,red
213,198,"Oct 20, 2022",4th Qtr,3:06,True,2,17,False,84,84,MIL,PHI,2023,green
189,161,"Oct 20, 2022",4th Qtr,1:43,True,2,16,True,86,84,MIL,PHI,2023,green
45,206,"Oct 20, 2022",4th Qtr,0:04,False,2,4,False,88,89,MIL,PHI,2023,red
115,322,"Oct 22, 2022",1st Qtr,9:59,False,2,10,False,0,0,SAS,PHI,2023,red
57,227,"Oct 22, 2022",1st Qtr,4:46,True,2,1,True,18,12,SAS,PHI,2023,green
172,304,"Oct 22, 2022",1st Qtr,3:30,True,2,14,True,20,12,SAS,PHI,2023,green
108,217,"Oct 22, 2022",1st Qtr,3:09,False,2,6,True,20,12,SAS,PHI,2023,red
287,372,"Oct 22, 2022",1st Qtr,1:13,False,3,27,True,23,19,SAS,PHI,2023,red
69,184,"Oct 22, 2022",2nd Qtr,7:15,False,2,6,False,35,36,SAS,PHI,2023,red
323,356,"Oct 22, 2022",2nd Qtr,6:23,False,3,29,False,36,39,SAS,PHI,2023,red
220,186,"Oct 22, 2022",2nd Qtr,5:07,False,2,18,False,38,41,SAS,PHI,2023,red
62,225,"Oct 22, 2022",2nd Qtr,2:41,False,2,2,False,41,49,SAS,PHI,2023,red
53,240,"Oct 22, 2022",2nd Qtr,2:40,False,2,0,False,41,49,SAS,PHI,2023,red
57,228,"Oct 22, 2022",3rd Qtr,6:01,False,2,1,False,65,65,SAS,PHI,2023,red
318,185,"Oct 22, 2022",3rd Qtr,5:11,False,3,27,False,68,68,SAS,PHI,2023,red
123,242,"Oct 22, 2022",3rd Qtr,4:12,True,2,7,False,70,70,SAS,PHI,2023,green
315,197,"Oct 22, 2022",4th Qtr,11:20,True,3,27,False,80,85,SAS,PHI,2023,green
118,307,"Oct 22, 2022",4th Qtr,10:01,False,2,9,False,82,85,SAS,PHI,2023,red
171,247,"Oct 22, 2022",4th Qtr,4:54,False,2,12,False,90,101,SAS,PHI,2023,red
320,260,"Oct 22, 2022",4th Qtr,2:48,False,3,27,False,94,104,SAS,PHI,2023,red
313,206,"Oct 22, 2022",4th Qtr,1:01,False,3,26,False,102,110,SAS,PHI,2023,red
294,332,"Oct 24, 2022",1st Qtr,10:28,False,3,26,True,3,2,IND,PHI,2023,red
58,237,"Oct 24, 2022",1st Qtr,9:34,True,2,1,False,5,6,IND,PHI,2023,green
285,367,"Oct 24, 2022",1st Qtr,7:33,True,3,26,True,13,12,IND,PHI,2023,green
333,259,"Oct 24, 2022",1st Qtr,6:21,False,3,28,True,15,14,IND,PHI,2023,red
174,317,"Oct 24, 2022",1st Qtr,4:53,False,2,14,True,18,17,IND,PHI,2023,red
84,473,"Oct 24, 2022",1st Qtr,4:05,False,3,23,True,22,17,IND,PHI,2023,red
282,363,"Oct 24, 2022",2nd Qtr,7:01,False,3,26,True,43,27,IND,PHI,2023,red
230,317,"Oct 24, 2022",2nd Qtr,5:53,True,2,19,True,48,29,IND,PHI,2023,green
126,251,"Oct 24, 2022",2nd Qtr,4:25,False,2,7,True,48,34,IND,PHI,2023,red
170,351,"Oct 24, 2022",2nd Qtr,3:25,True,2,16,True,53,40,IND,PHI,2023,green
