top,left,date,qtr,time_remaining,result,shot_type,distance_ft,lead,lebron_team_score,opponent_team_score,opponent,team,season,color
63,300,"Oct 18, 2022",1st Qtr,7:27,False,2,6,True,9,6,LAL,GSW,2023,red
133,389,"Oct 18, 2022",1st Qtr,7:22,True,2,17,True,11,6,LAL,GSW,2023,green
326,247,"Oct 18, 2022",1st Qtr,7:11,False,3,27,True,11,6,LAL,GSW,2023,red
249,89,"Oct 18, 2022",1st Qtr,5:16,False,3,25,True,19,13,LAL,GSW,2023,red
282,158,"Oct 18, 2022",1st Qtr,3:52,False,3,24,True,22,17,LAL,GSW,2023,red
200,142,"Oct 18, 2022",1st Qtr,2:58,False,2,18,False,22,22,LAL,GSW,2023,red
41,217,"Oct 18, 2022",2nd Qtr,6:11,False,2,3,True,39,33,LAL,GSW,2023,red
59,232,"Oct 18, 2022",2nd Qtr,5:15,True,2,1,True,43,33,LAL,GSW,2023,green
53,252,"Oct 18, 2022",2nd Qtr,4:30,True,2,1,True,46,37,LAL,GSW,2023,green
54,233,"Oct 18, 2022",2nd Qtr,4:03,True,2,1,True,48,37,LAL,GSW,2023,green
103,464,"Oct 18, 2022",2nd Qtr,2:48,False,3,23,True,51,39,LAL,GSW,2023,red
63,261,"Oct 18, 2022",2nd Qtr,0:32,True,2,2,True,59,48,LAL,GSW,2023,green
118,471,"Oct 18, 2022",3rd Qtr,5:27,True,3,24,True,84,64,LAL,GSW,2023,green
312,338,"Oct 18, 2022",3rd Qtr,4:51,True,3,28,True,87,64,LAL,GSW,2023,green
367,192,"Oct 18, 2022",3rd Qtr,3:47,False,3,32,True,89,64,LAL,GSW,2023,red
242,52,"Oct 18, 2022",3rd Qtr,3:42,False,3,27,True,89,64,LAL,GSW,2023,red
264,111,"Oct 18, 2022",4th Qtr,6:23,False,3,25,True,100,83,LAL,GSW,2023,red
151,10,"Oct 18, 2022",4th Qtr,4:01,True,3,25,True,109,93,LAL,GSW,2023,green
59,233,"Oct 18, 2022",4th Qtr,3:33,True,2,1,True,111,96,LAL,GSW,2023,green
304,268,"Oct 18, 2022",4th Qtr,3:15,True,3,25,True,114,98,LAL,GSW,2023,green
248,398,"Oct 18, 2022",4th Qtr,2:46,False,3,25,True,115,100,LAL,GSW,2023,red
274,96,"Oct 21, 2022",1st Qtr,9:14,True,3,26,False,8,10,DEN,GSW,2023,green
75,284,"Oct 21, 2022",1st Qtr,6:55,True,2,5,True,18,16,DEN,GSW,2023,green
283,408,"Oct 21, 2022",1st Qtr,6:39,False,3,29,False,18,18,DEN,GSW,2023,red
312,233,"Oct 21, 2022",1st Qtr,4:12,False,3,26,False,23,24,DEN,GSW,2023,red
257,391,"Oct 21, 2022",2nd Qtr,5:59,False,3,25,False,41,55,DEN,GSW,2023,red
313,340,"Oct 21, 2022",2nd Qtr,3:54,False,3,28,False,46,58,DEN,GSW,2023,red
84,289,"Oct 21, 2022",2nd Qtr,2:17,True,2,6,False,48,64,DEN,GSW,2023,green
71,205,"Oct 21, 2022",2nd Qtr,1:44,True,2,4,False,50,66,DEN,GSW,2023,green
147,270,"Oct 21, 2022",3rd Qtr,9:46,False,2,10,False,57,75,DEN,GSW,2023,red
151,253,"Oct 21, 2022",3rd Qtr,9:43,False,2,10,False,57,75,DEN,GSW,2023,red
268,95,"Oct 21, 2022",3rd Qtr,9:21,False,3,26,False,57,77,DEN,GSW,2023,red
90,272,"Oct 21, 2022",3rd Qtr,4:36,True,2,5,False,79,86,DEN,GSW,2023,green
143,322,"Oct 21, 2022",3rd Qtr,2:42,False,2,12,False,81,91,DEN,GSW,2023,red
309,332,"Oct 21, 2022",3rd Qtr,2:17,True,3,27,False,84,93,DEN,GSW,2023,green
72,323,"Oct 21, 2022",4th Qtr,5:29,True,2,9,False,103,111,DEN,GSW,2023,green
88,283,"Oct 21, 2022",4th Qtr,4:52,False,2,6,False,103,111,DEN,GSW,2023,red
54,12,"Oct 21, 2022",4th Qtr,4:04,False,3,23,False,105,114,DEN,GSW,2023,red
253,68,"Oct 21, 2022",4th Qtr,3:34,True,3,26,False,108,114,DEN,GSW,2023,green
225,47,"Oct 21, 2022",4th Qtr,2:38,True,3,26,False,111,116,DEN,GSW,2023,green
92,202,"Oct 21, 2022",4th Qtr,1:52,False,2,5,False,111,116,DEN,GSW,2023,red
384,344,"Oct 21, 2022",4th Qtr,1:11,True,3,35,False,114,121,DEN,GSW,2023,green
188,397,"Oct 21, 2022",4th Qtr,0:39,False,2,21,False,116,123,DEN,GSW,2023,red
213,38,"Oct 23, 2022",1st Qtr,9:06,False,3,26,True,10,2,SAC,GSW,2023,red
80,226,"Oct 23, 2022",1st Qtr,7:29,False,2,3,True,12,8,SAC,GSW,2023,red
233,37,"Oct 23, 2022",1st Qtr,7:10,True,3,27,True,15,10,SAC,GSW,2023,green
213,187,"Oct 23, 2022",1st Qtr,5:47,True,2,17,True,19,17,SAC,GSW,2023,green
82,276,"Oct 23, 2022",1st Qtr,3:57,True,2,5,True,25,23,SAC,GSW,2023,green
169,374,"Oct 23, 2022",2nd Qtr,7:15,True,2,18,True,58,54,SAC,GSW,2023,green
298,130,"Oct 23, 2022",2nd Qtr,6:47,True,3,27,True,61,57,SAC,GSW,2023,green
314,330,"Oct 23, 2022",2nd Qtr,6:22,True,3,28,True,64,57,SAC,GSW,2023,green
258,54,"Oct 23, 2022",2nd Qtr,3:53,True,3,28,True,74,61,SAC,GSW,2023,green
185,15,"Oct 23, 2022",2nd Qtr,2:50,True,3,26,True,79,63,SAC,GSW,2023,green
147,7,"Oct 23, 2022",2nd Qtr,1:28,True,3,25,True,86,65,SAC,GSW,2023,green
59,4,"Oct 23, 2022",2nd Qtr,0:44,False,3,24,True,89,69,SAC,GSW,2023,red
93,324,"Oct 23, 2022",2nd Qtr,0:13,False,2,9,True,89,71,SAC,GSW,2023,red
218,38,"Oct 23, 2022",3rd Qtr,10:48,True,3,26,True,92,75,SAC,GSW,2023,green
304,142,"Oct 23, 2022",3rd Qtr,9:57,False,3,27,True,92,75,SAC,GSW,2023,red
208,374,"Oct 23, 2022",3rd Qtr,9:16,True,2,21,True,94,75,SAC,GSW,2023,green
74,165,"Oct 23, 2022",3rd Qtr,7:12,False,2,8,True,98,81,SAC,GSW,2023,red
285,436,"Oct 23, 2022",3rd Qtr,3:03,False,3,30,True,109,85,SAC,GSW,2023,red
310,133,"Oct 23, 2022",4th Qtr,4:42,False,3,28,True,125,113,SAC,GSW,2023,red
93,215,"Oct 23, 2022",4th Qtr,2:33,False,2,5,True,126,118,SAC,GSW,2023,red
233,295,"Oct 23, 2022",4th Qtr,1:36,False,2,19,True,126,120,SAC,GSW,2023,red
84,291,"Oct 23, 2022",4th Qtr,1:10,False,2,6,True,126,120,SAC,GSW,2023,red
149,118,"Oct 25, 2022",1st Qtr,9:52,True,2,16,True,7,4,PHO,GSW,2023,green
223,193,"Oct 25, 2022",1st Qtr,5:57,False,2,18,False,12,17,PHO,GSW,2023,red
149,332,"Oct 25, 2022",1st Qtr,4:09,False,2,13,False,16,23,PHO,GSW,2023,red
287,368,"Oct 25, 2022",2nd Qtr,5:52,True,3,27,False,46,50,PHO,GSW,2023,green
279,377,"Oct 25, 2022",2nd Qtr,2:29,False,3,26,False,55,60,PHO,GSW,2023,red
218,439,"Oct 25, 2022",2nd Qtr,2:25,True,3,26,False,58,60,PHO,GSW,2023,green
308,166,"Oct 25, 2022",2nd Qtr,1:20,True,3,27,False,63,65,PHO,GSW,2023,green
238,177,"Oct 25, 2022",3rd Qtr,11:34,False,2,20,False,66,72,PHO,GSW,2023,red
61,237,"Oct 25, 2022",3rd Qtr,8:57,True,2,1,False,74,79,PHO,GSW,2023,green
282,388,"Oct 25, 2022",3rd Qtr,5:35,False,3,27,False,77,90,PHO,GSW,2023,red
97,219,"Oct 25, 2022",4th Qtr,8:10,False,2,5,False,92,109,PHO,GSW,2023,red
248,448,"Oct 25, 2022",4th Qtr,7:34,True,3,29,False,97,109,PHO,GSW,2023,green
333,318,"Oct 25, 2022",4th Qtr,6:00,False,3,29,False,99,113,PHO,GSW,2023,red
66,245,"Oct 25, 2022",4th Qtr,5:37,True,2,1,False,101,115,PHO,GSW,2023,green
171,244,"Oct 25, 2022",4th Qtr,4:07,False,2,12,False,101,120,PHO,GSW,2023,red
259,453,"Oct 25, 2022",4th Qtr,3:58,False,3,30,False,101,120,PHO,GSW,2023,red
367,239,"Oct 25, 2022",4th Qtr,3:38,False,3,31,False,101,120,PHO,GSW,2023,red
53,240,"Oct 27, 2022",1st Qtr,9:30,True,2,0,True,10,4,MIA,GSW,2023,green
69,283,"Oct 27, 2022",1st Qtr,7:46,True,2,5,True,14,11,MIA,GSW,2023,green
333,135,"Oct 27, 2022",1st Qtr,6:03,True,3,30,True,21,16,MIA,GSW,2023,green
325,232,"Oct 27, 2022",1st Qtr,2:14,False,3,27,True,25,23,MIA,GSW,2023,red
333,328,"Oct 27, 2022",2nd Qtr,7:35,False,3,29,False,41,41,MIA,GSW,2023,red
294,331,"Oct 27, 2022",2nd Qtr,5:27,True,3,26,True,51,45,MIA,GSW,2023,green
80,284,"Oct 27, 2022",2nd Qtr,2:46,True,2,5,True,59,50,MIA,GSW,2023,green
51,474,"Oct 27, 2022",2nd Qtr,1:50,False,3,23,True,61,50,MIA,GSW,2023,red
218,449,"Oct 27, 2022",3rd Qtr,11:48,False,3,27,True,63,59,MIA,GSW,2023,red
257,66,"Oct 27, 2022",3rd Qtr,8:29,True,3,27,True,74,70,MIA,GSW,2023,green
338,343,"Oct 27, 2022",3rd Qtr,5:18,True,3,30,False,77,77,MIA,GSW,2023,green
90,282,"Oct 27, 2022",3rd Qtr,4:42,True,2,6,True,79,77,MIA,GSW,2023,green
388,231,"Oct 27, 2022",3rd Qtr,4:20,False,3,34,True,79,77,MIA,GSW,2023,red
146,288,"Oct 27, 2022",3rd Qtr,2:26,False,2,11,True,81,80,MIA,GSW,2023,red
126,15,"Oct 27, 2022",3rd Qtr,1:39,True,3,24,True,88,82,MIA,GSW,2023,green
362,335,"Oct 27, 2022",3rd Qtr,1:11,False,3,32,True,88,84,MIA,GSW,2023,red
279,126,"Oct 27, 2022",4th Qtr,5:32,True,3,25,True,108,100,MIA,GSW,2023,green
116,267,"Oct 27, 2022",4th Qtr,3:36,False,2,7,True,111,105,MIA,GSW,2023,red
97,309,"Oct 27, 2022",4th Qtr,3:15,True,2,8,True,113,105,MIA,GSW,2023,green
30,17,"Oct 27, 2022",4th Qtr,2:46,False,3,22,True,113,105,MIA,GSW,2023,red
